category	Z_alpha_category	Z_beta_category	n_envs_used
0030170	2.114418122227991	2.065101341899916	8
0030261	1.1664405316967055	1.1397104324075227	8
0030488	2.4714189049909168	2.46630891694931	8
0030955	2.8354496730145495	2.759415214278386	7
0030976	2.8014749123170146	2.7293125946840444	8
0031167	2.100593490823974	2.06797424883501	8
0032259	1.4226375196382155	1.4415001059621464	8
0032784	3.079291841155657	3.059433831537966	8
0033862	1.3446535645509439	1.3131796703831453	6
0036211	2.2038130860597525	2.2549412924468673	8
0042026	2.399003862653567	2.464401466801716	8
0042254	2.4906925386183203	2.4237610161698857	8
0042450	1.5938391247257704	1.5979844223471076	8
0042586	2.269436694997472	2.1983790529722875	8
0042626	3.6476112273127628	3.5932939147529472	8
0043022	1.660742162391155	1.618613383608401	8
0043190	1.0543524368389072	1.0082472957833009	8
0043565	1.775429170157847	1.810988564846558	8
0043952	2.659593435582081	2.6945581330344472	8
0046118	1.163756187775073	1.1773259003565661	6
0046872	2.4832217327831745	2.5446665124177876	8
0046933	2.1280053725956734	2.0785409865470394	8
0046983	2.0216676796877753	1.9837342714592432	8
0047429	2.4114740349082413	2.386917044310606	8
0048501	0.19109107307266493	0.20103236261499477	2
0050511	3.183188158255528	3.140340364540304	7
0050660	2.5049657705161277	2.5438237840186573	8
0050661	2.416507769845486	2.446175874086791	8
0051082	1.3822092416031304	1.3484535594832006	8
0051083	0.7005585293871268	0.7002677895671326	7
0051287	3.703290060658503	3.743978328299052	8
0051301	2.6011154124844915	2.609879948781218	8
0051536	3.778848980258698	3.9173016448538367	8
0051539	5.325146232753449	5.4936367364924354	8
0051989	1.0094762911907968	1.0597474937740474	8
0052381	1.0004915079966266	0.9870318681968233	8
0052906	0.2725258982199435	0.24729108225472776	2
0055052	2.8273693021580852	2.7561608838923464	8
0055085	1.9053715977732013	1.833295853112854	8
0061710	2.0808747846873836	1.985794436362791	8
0070006	1.2141436692029193	1.2675477218346012	8
0070403	1.9654496043736813	1.9924138880269455	8
0071555	1.7109094044546407	1.6841216824122478	8
0071949	1.7196513469141004	1.7084080267151929	8
0071951	3.7794810494001494	3.717075282957345	8
0140359	3.444020234688867	3.3874185538169073	8
0140662	2.494521266066899	2.5200720178767564	8
